Approval,Debt-to-Income Ratio,FICO Score,Request Amount,Interest
T,0.11,735,15000,6750
F,0.32,648,500,225
T,0.09,719,4000,1800
T,0.11,668,10000,4500
T,0.23,704,2000,900
F,0.07,717,10000,4500
F,0.07,534,3000,1350
F,0.15,498,9000,4050
T,0.09,674,20000,9000
F,0.21,623,1000,450
F,0.07,577,17000,7650
T,0.14,750,27000,12150
F,0.08,653,34000,15300
T,0.07,777,8000,3600
F,0.17,551,3000,1350
F,0.27,700,11000,4950
T,0.01,676,4000,1800
T,0.14,710,6000,2700
T,0.02,810,25000,11250
F,0.24,723,11000,4950
T,0.17,719,3000,1350
T,0.09,762,17000,7650
F,0.3,684,14000,6300
F,0.25,603,25000,11250
T,0.18,730,24000,10800
F,0.01,758,13000,5850
T,0.17,790,12000,5400
F,0.62,536,4000,1800
T,0.18,750,26000,11700
T,0.1,719,11000,4950
F,0.34,530,6000,2700
F,0.38,732,36000,16200
T,0.2,683,11000,4950
T,0.19,690,13000,5850
T,0.17,663,18000,8100
T,0.08,761,20000,9000
F,0.21,635,6000,2700
T,0.13,702,11000,4950
F,0.2,635,5000,2250
F,0.52,655,35000,15750
T,0.08,667,29000,13050
F,0.16,500,21000,9450
T,0.3,697,10000,4500
T,0.2,702,12000,5400
F,0,624,36000,16200
F,0.03,525,6000,2700
F,0.41,716,28000,12600
T,0.13,674,14000,6300
T,0.16,700,9000,4050
T,0.08,807,3000,1350
F,0.13,668,27000,12150
F,0.03,506,1000,450
F,0.08,545,10000,4500
F,0.36,662,20000,9000
T,0.02,723,500,225
F,0.08,724,34000,15300
F,0.13,655,1000,450
F,0.17,656,9000,4050
T,0.1,697,16000,7200
F,0.19,588,16000,7200
T,0.12,716,7000,3150
T,0.12,748,7000,3150
T,0.23,708,19000,8550
T,0.2,694,19000,8550
T,0.01,695,4000,1800
T,0.14,659,15000,6750
T,0.18,740,21000,9450
T,0.02,743,10000,4500
T,0.04,734,10000,4500
T,0.17,699,11000,4950
T,0.3,714,9000,4050
T,0.1,735,11000,4950
F,0.11,711,11000,4950
F,0.54,643,16000,7200
T,0.11,744,11000,4950
T,0.14,713,25000,11250
T,0.22,709,16000,7200
F,0.01,641,18000,8100
F,0.01,635,2000,900
F,0.36,653,8000,3600
T,0.18,693,5000,2250
F,0.22,685,16000,7200
F,0.11,638,8000,3600
T,0.12,658,500,225
T,0.16,691,4000,1800
F,0.08,650,5000,2250
F,0.07,622,2000,900
T,0.03,691,5000,2250
T,0.07,733,2000,900
F,0.01,477,3000,1350
T,0.27,716,13000,5850
T,0.23,721,24000,10800
T,0.12,699,6000,2700
T,0.09,692,16000,7200
F,0.43,713,18000,8100
T,0.11,649,14000,6300
T,0.12,716,29000,13050
F,0.12,652,21000,9450
T,0.13,749,16000,7200
T,0.26,673,13000,5850
T,0.17,718,6000,2700
T,0.19,715,7000,3150
F,0.21,606,5000,2250
T,0.06,765,20000,9000
T,0.2,751,4000,1800
F,0.18,687,17000,7650
T,0.21,728,10000,4500
T,0.17,672,5000,2250
F,0.04,664,22000,9900
T,0.06,672,26000,11700
T,0.19,776,5000,2250
F,0.17,623,15000,6750
F,0.17,648,5000,2250
F,0.21,528,27000,12150
F,0.42,569,4000,1800
F,0.25,649,13000,5850
F,0.02,474,4000,1800
F,0.09,699,2000,900
F,0.61,706,9000,4050
T,0.15,699,18000,8100
F,0.24,666,30000,13500
F,0.56,666,35000,15750
T,0.02,700,11000,4950
T,0.26,700,12000,5400
F,0.04,582,3000,1350
F,0.18,706,22000,9900
T,0.22,681,13000,5850
T,0.19,712,13000,5850
T,0.1,743,8000,3600
F,0.19,628,23000,10350
T,0.23,708,23000,10350
F,0.11,499,3000,1350
T,0.23,705,16000,7200
T,0.32,772,26000,11700
F,0.33,710,13000,5850
F,0.35,538,3000,1350
F,0.25,660,33000,14850
T,0.14,687,10000,4500
T,0.16,730,19000,8550
T,0.14,679,7000,3150
T,0.19,694,28000,12600
T,0.11,672,2000,900
F,0.42,746,17000,7650
F,0.12,813,20000,9000
T,0.18,666,1000,450
F,0.02,514,34000,15300
T,0.21,699,35000,15750
F,0.24,644,19000,8550
F,0.24,614,9000,4050
T,0.26,657,13000,5850
F,0.46,725,23000,10350
T,0.19,722,10000,4500
F,0.33,689,12000,5400
F,0.06,634,23000,10350
T,0.14,671,32000,14400
F,0.06,696,20000,9000
F,0.12,697,11000,4950
F,0.29,630,31000,13950
F,0.45,549,5000,2250
F,0.4,654,6000,2700
F,0.19,639,8000,3600
F,0.28,725,27000,12150
T,0.14,674,19000,8550
F,0.08,687,14000,6300
T,0.07,814,16000,7200
T,0.04,693,10000,4500
F,0.34,627,4000,1800
T,0.1,724,25000,11250
T,0.08,730,11000,4950
T,0.11,686,2000,900
T,0.05,730,9000,4050
F,0.08,472,8000,3600
T,0.13,713,9000,4050
F,0.37,706,36000,16200
F,0.19,593,4000,1800
T,0.13,744,7000,3150
T,0.08,681,6000,2700
T,0.18,676,14000,6300
F,0.11,706,9000,4050
F,0.04,587,5000,2250
F,0.08,508,2000,900
T,0.2,713,28000,12600
T,0.07,729,23000,10350
F,0.39,486,9000,4050
F,0.12,680,29000,13050
F,0.24,594,30000,13500
T,0.22,689,16000,7200
F,0.35,454,7000,3150
T,0.05,758,15000,6750
T,0.13,709,19000,8550
T,0.2,697,9000,4050
F,0.06,586,18000,8100
F,0.13,797,18000,8100
T,0.23,660,10000,4500
T,0.23,708,9000,4050
T,0.13,698,8000,3600
T,0.1,738,25000,11250
F,0.52,683,26000,11700
F,0.1,627,14000,6300
T,0.09,707,11000,4950
T,0.12,730,18000,8100
T,0.03,737,9000,4050
F,0.23,739,38000,17100
F,0.17,573,18000,8100
T,0.09,703,14000,6300
F,0.1,609,4000,1800
F,0.22,614,5000,2250
T,0.19,719,9000,4050
T,0.33,682,16000,7200
T,0.21,667,26000,11700
T,0.17,750,18000,8100
T,0.06,694,23000,10350
T,0.11,680,9000,4050
T,0.1,720,7000,3150
F,0.07,716,25000,11250
F,0,578,6000,2700
T,0.18,692,16000,7200
T,0.03,718,10000,4500
F,0.26,642,5000,2250
T,0.24,672,10000,4500
T,0.08,725,23000,10350
F,0.32,694,12000,5400
T,0.1,672,8000,3600
T,0.27,689,28000,12600
T,0.18,726,10000,4500
T,0.19,699,26000,11700
T,0.28,725,25000,11250
F,0.17,745,4000,1800
F,0.21,543,8000,3600
F,0.3,744,29000,13050
F,0.27,685,13000,5850
T,0.1,742,19000,8550
T,0.23,673,12000,5400
T,0.26,732,20000,9000
F,0.04,692,3000,1350
T,0.22,716,7000,3150
F,0.03,629,1000,450
F,0.01,768,16000,7200
T,0.22,702,12000,5400
T,0.08,687,7000,3150
F,0.19,564,3000,1350
T,0.21,683,9000,4050
F,0.24,713,22000,9900
T,0.01,781,34000,15300
T,0.24,795,8000,3600
T,0.2,678,19000,8550
F,0.34,462,3000,1350
T,0.05,729,2000,900
T,0.06,717,13000,5850
T,0.09,713,10000,4500
F,0.32,492,1000,450
F,0.21,696,19000,8550
T,0.1,691,11000,4950
F,0.58,642,1000,450
T,0.09,743,14000,6300
T,0.16,763,9000,4050
T,0.07,749,1000,450
F,0.28,669,22000,9900
F,0.62,735,17000,7650
F,0.07,681,30000,13500
F,0.34,701,27000,12150
F,0.32,716,3000,1350
F,0.1,642,41000,18450
F,0.2,606,36000,16200
F,0.51,623,10000,4500
T,0.1,672,5000,2250
T,0.25,673,12000,5400
T,0.14,723,31000,13950
T,0.09,830,16000,7200
F,0.27,664,2000,900
F,0.17,625,4000,1800
T,0.06,740,24000,10800
F,0.27,512,3000,1350
F,0.07,604,3000,1350
F,0.21,673,13000,5850
T,0.21,665,13000,5850
T,0.21,671,13000,5850
T,0.2,719,5000,2250
T,0.05,692,7000,3150
T,0.19,712,8000,3600
F,0.17,688,6000,2700
F,0.1,588,1000,450
F,0.14,673,34000,15300
F,0.16,642,35000,15750
T,0.17,765,19000,8550
T,0.13,757,5000,2250
T,0.12,701,6000,2700
F,0.13,641,5000,2250
T,0.26,704,11000,4950
T,0.15,761,12000,5400
T,0.29,679,4000,1800
F,0.05,642,4000,1800
F,0.3,597,7000,3150
T,0.18,702,13000,5850
T,0.19,700,9000,4050
T,0.23,712,6000,2700
F,0.13,695,15000,6750
T,0.09,753,25000,11250
T,0.08,753,4000,1800
F,0.16,660,21000,9450
T,0.15,719,18000,8100
T,0.23,730,15000,6750
F,0.31,712,37000,16650
F,0.23,692,8000,3600
F,0.27,702,9000,4050
T,0.16,725,3000,1350
T,0.2,714,16000,7200
F,0.02,528,14000,6300
F,0.06,781,25000,11250
F,0.19,673,10000,4500
F,0.12,460,2000,900
T,0.11,689,4000,1800
F,0.01,526,13000,5850
T,0.19,687,16000,7200
T,0.23,707,11000,4950
T,0.21,680,13000,5850
T,0.2,753,10000,4500
T,0.15,692,23000,10350
F,0.47,663,14000,6300
F,0.01,552,12000,5400
F,0.15,719,34000,15300
F,0.14,751,22000,9900
F,0.26,632,13000,5850
T,0,831,3000,1350
T,0.15,703,1000,450
F,0.37,694,21000,9450
T,0.04,814,26000,11700
F,0.23,575,3000,1350
F,0.25,631,14000,6300
F,0.4,621,11000,4950
F,0.74,643,3000,1350
T,0.16,676,11000,4950
F,0.15,678,18000,8100
F,0.22,617,19000,8550
F,0.05,589,3000,1350
T,0.11,689,11000,4950
F,0.32,511,3000,1350
F,0.05,646,7000,3150
F,0.05,567,7000,3150
F,0.39,734,30000,13500
T,0.17,688,5000,2250
T,0.14,715,22000,9900
F,0.25,740,16000,7200
T,0.08,743,14000,6300
T,0.06,707,8000,3600
T,0.25,646,7000,3150
F,0.04,681,15000,6750
T,0.09,697,10000,4500
T,0.06,733,4000,1800
F,0.16,705,29000,13050
T,0.15,675,18000,8100
T,0.06,682,14000,6300
T,0.08,737,15000,6750
T,0.07,754,10000,4500
T,0.24,677,6000,2700
F,0.01,446,9000,4050
F,0.07,565,8000,3600
T,0.32,717,10000,4500
T,0,710,4000,1800
F,0.33,749,33000,14850
F,0.21,704,14000,6300
F,0.08,717,35000,15750
T,0.1,653,15000,6750
T,0.01,680,3000,1350
F,0.34,685,14000,6300
F,0.23,706,25000,11250
F,0.4,709,2000,900
T,0.17,747,10000,4500
T,0.23,721,13000,5850
T,0.21,717,20000,9000
T,0.1,714,6000,2700
F,0.21,691,28000,12600
F,0.25,533,6000,2700
T,0.07,701,17000,7650
T,0.21,735,15000,6750
F,0.29,667,23000,10350
T,0.14,683,8000,3600
F,0.16,659,32000,14400
F,0.04,764,5000,2250
T,0.11,700,15000,6750
F,0.35,654,28000,12600
F,0.05,622,7000,3150
F,0.22,517,3000,1350
F,0.28,654,8000,3600
F,0.12,639,8000,3600
T,0.17,706,18000,8100
F,0.01,682,8000,3600
T,0.22,705,2000,900
F,0.18,589,34000,15300
T,0.18,715,21000,9450
F,0.51,606,3000,1350
F,0.26,661,25000,11250
T,0.19,681,9000,4050
F,0.26,631,3000,1350
T,0.01,727,4000,1800
T,0.16,669,4000,1800
F,0.01,746,1000,450
F,0.13,639,38000,17100
T,0.07,700,18000,8100
T,0.02,695,11000,4950
T,0.19,684,6000,2700
F,0.13,772,27000,12150
F,0.12,583,3000,1350
F,0.19,693,29000,13050
F,0.04,511,2000,900
F,0.03,780,16000,7200
F,0.03,502,2000,900
T,0.15,702,5000,2250
F,0.06,728,5000,2250
T,0.09,697,8000,3600
T,0.13,745,13000,5850
T,0.06,684,10000,4500
F,0.36,526,6000,2700
T,0.2,761,20000,9000
T,0.3,685,12000,5400
F,0.97,696,7000,3150
T,0.19,756,10000,4500
F,0.38,676,1000,450
T,0.23,664,9000,4050
T,0.23,726,35000,15750
F,0.37,682,23000,10350
F,0.04,674,2000,900
F,0.09,640,22000,9900
T,0.18,698,17000,7650
T,0.1,666,10000,4500
T,0.17,735,10000,4500
F,0.17,595,20000,9000
T,0.13,745,14000,6300
F,0.27,684,27000,12150
F,0.02,646,5000,2250
T,0.12,744,2000,900
T,0.11,668,8000,3600
F,0.23,643,12000,5400
T,0.12,755,20000,9000
F,0.45,530,500,225
F,0.08,659,12000,5400
T,0.06,688,20000,9000
F,0.01,636,16000,7200
T,0.12,724,10000,4500
T,0.2,675,6000,2700
F,0.16,617,3000,1350
F,0.2,640,37000,16650
F,0.04,613,34000,15300
F,0.33,679,25000,11250
F,0.14,549,6000,2700
F,0.43,709,31000,13950
F,0.43,697,6000,2700
F,0.19,626,1000,450
F,0.09,613,10000,4500
T,0.17,701,26000,11700
F,0.15,622,4000,1800
T,0.08,703,12000,5400
T,0.11,681,8000,3600
T,0.02,688,14000,6300
F,0.26,739,19000,8550
T,0.08,698,13000,5850
T,0.19,680,13000,5850
T,0.17,732,7000,3150
T,0.07,708,12000,5400
T,0.06,712,9000,4050
T,0.12,686,6000,2700
F,0.05,614,4000,1800
F,0.02,486,4000,1800
F,0.19,710,20000,9000
T,0.14,680,19000,8550
F,0.15,578,6000,2700
T,0.13,680,5000,2250
F,0.03,521,16000,7200
F,0.11,711,11000,4950
T,0.02,835,9000,4050
T,0.25,717,4000,1800
F,0.06,602,2000,900
F,0.16,589,2000,900
F,0.04,687,25000,11250
F,0.17,642,5000,2250
F,0.16,708,28000,12600
T,0.14,707,9000,4050
T,0.12,687,11000,4950
F,0.3,448,19000,8550
T,0.2,701,31000,13950
T,0.3,717,21000,9450
F,0.02,437,7000,3150
F,0.01,462,4000,1800
T,0.2,668,29000,13050
T,0,767,10000,4500
T,0.12,736,21000,9450
T,0.25,665,10000,4500
T,0.07,662,19000,8550
F,0.24,611,22000,9900
T,0.23,700,17000,7650
F,0.07,758,33000,14850
F,0.36,660,34000,15300
F,0.43,555,2000,900
T,0.14,713,10000,4500
T,0.11,698,18000,8100
T,0.04,693,18000,8100
T,0.02,755,3000,1350
F,0.04,585,10000,4500
T,0.01,773,9000,4050
T,0.21,703,16000,7200
F,0.03,628,19000,8550
T,0.15,721,14000,6300
F,0.16,578,27000,12150
T,0.01,654,4000,1800
T,0.13,704,5000,2250
F,0.15,620,37000,16650
T,0.18,696,12000,5400
F,0.23,627,5000,2250
T,0.2,690,4000,1800
T,0.09,677,4000,1800
T,0.02,759,11000,4950
F,0.33,710,37000,16650
F,0.16,571,16000,7200
T,0.02,667,7000,3150
F,0.04,680,6000,2700
T,0.14,715,17000,7650
F,0.4,703,24000,10800
F,0.03,644,4000,1800
F,0.05,763,11000,4950
T,0.08,781,3000,1350
T,0.08,718,3000,1350
T,0.12,702,15000,6750
F,0.17,691,36000,16200
T,0.29,693,12000,5400
T,0.17,689,26000,11700
T,0.1,731,24000,10800
F,0.14,568,18000,8100
F,0.31,504,10000,4500
T,0.08,752,18000,8100
F,0.43,459,3000,1350
F,0.18,675,18000,8100
T,0,677,8000,3600
T,0.14,683,8000,3600
F,0.01,677,15000,6750
T,0.14,736,8000,3600
F,0.22,475,5000,2250
T,0.12,699,10000,4500
F,0.23,725,500,225
F,0.32,646,39000,17550
T,0.21,676,7000,3150
T,0.11,715,23000,10350
F,0.16,693,8000,3600
F,0.04,730,12000,5400
F,0.23,529,1000,450
T,0.24,723,31000,13950
T,0.15,698,36000,16200
T,0.02,767,24000,10800
F,0.15,736,26000,11700
T,0.02,686,6000,2700
T,0.18,678,9000,4050
F,0.21,638,9000,4050
F,0.07,531,20000,9000
T,0.12,722,5000,2250
F,0.41,798,6000,2700
F,0.1,544,2000,900
F,0.37,645,7000,3150
F,0.25,556,16000,7200
T,0.09,810,13000,5850
F,0.39,583,1000,450
T,0.29,710,2000,900
F,0.38,553,38000,17100
T,0.18,679,13000,5850
F,0.15,595,20000,9000
F,0.15,629,10000,4500
T,0.23,718,19000,8550
F,0.33,577,10000,4500
F,0.44,757,23000,10350
T,0.14,744,21000,9450
F,0.35,656,19000,8550
F,0.52,701,21000,9450
F,0.21,649,10000,4500
F,0.04,542,3000,1350
F,0.41,719,17000,7650
T,0.14,675,12000,5400
T,0.09,689,8000,3600
F,0.13,661,9000,4050
F,0.22,603,13000,5850
T,0.2,723,2000,900
F,0.24,649,16000,7200
F,0.07,591,7000,3150
F,0.13,556,1000,450
F,0.3,671,36000,16200
T,0.21,707,17000,7650
T,0.21,681,9000,4050
F,0.28,634,4000,1800
T,0.2,699,7000,3150
T,0.26,698,8000,3600
T,0.16,709,13000,5850
T,0.01,709,7000,3150
T,0.19,694,10000,4500
T,0.19,700,15000,6750
F,0.13,681,31000,13950
F,0,733,21000,9450
F,0.18,504,26000,11700
T,0.21,750,21000,9450
F,0.43,664,30000,13500
T,0.08,665,13000,5850
T,0.19,696,5000,2250
F,0.34,455,17000,7650
F,0.2,767,22000,9900
T,0.17,705,5000,2250
F,0.07,663,500,225
T,0.2,717,17000,7650
T,0.07,776,14000,6300
F,0.49,526,19000,8550
F,0.62,685,10000,4500
F,0.06,750,3000,1350
F,0.24,688,4000,1800
T,0.13,756,10000,4500
T,0.2,736,21000,9450
F,0.07,655,16000,7200
T,0.18,713,27000,12150
T,0.13,682,5000,2250
T,0.26,762,11000,4950
F,0.16,713,25000,11250
T,0.19,683,3000,1350
T,0.23,714,21000,9450
T,0.21,674,11000,4950
F,0.17,544,16000,7200
F,0.05,518,9000,4050
T,0.04,658,10000,4500
F,0.03,653,7000,3150
T,0.02,704,3000,1350
F,0.05,566,19000,8550
F,0.38,637,6000,2700
T,0.21,708,21000,9450
F,0.12,765,3000,1350
T,0.09,689,22000,9900
T,0.08,697,21000,9450
F,0.02,533,9000,4050
T,0.25,681,23000,10350
T,0.17,689,5000,2250
F,0.32,664,19000,8550
T,0.29,730,18000,8100
F,0.23,667,8000,3600
T,0.05,729,15000,6750
T,0.02,702,24000,10800
F,0.26,577,3000,1350
T,0.13,688,5000,2250
T,0.18,739,19000,8550
T,0.22,674,35000,15750
F,0.21,695,6000,2700
F,0.04,783,7000,3150
F,0.97,686,4000,1800
T,0.19,694,22000,9900
T,0.14,672,2000,900
T,0.12,723,16000,7200
T,0.22,748,12000,5400
T,0.16,718,13000,5850
T,0.21,677,8000,3600
T,0.05,714,4000,1800
T,0.23,695,19000,8550
F,0.47,684,3000,1350
T,0.09,702,6000,2700
T,0.14,697,4000,1800
T,0.13,741,19000,8550
F,0.23,619,8000,3600
F,0.07,444,1000,450
F,0.23,473,9000,4050
F,0.06,595,24000,10800
T,0.19,686,5000,2250
T,0.15,690,18000,8100
T,0.11,713,10000,4500
F,0.3,679,17000,7650
T,0.11,683,11000,4950
F,0.31,690,13000,5850
T,0.29,720,32000,14400
F,0.09,653,34000,15300
T,0.13,661,8000,3600
T,0.15,686,22000,9900
T,0.15,715,17000,7650
F,0.35,687,23000,10350
T,0.04,777,24000,10800
F,0.05,713,22000,9900
T,0.08,760,13000,5850
F,0.04,755,11000,4950
F,0.26,691,20000,9000
T,0.19,700,18000,8100
T,0.13,711,36000,16200
F,0.28,690,14000,6300
T,0.12,771,6000,2700
T,0.09,710,4000,1800
T,0,703,8000,3600
T,0.22,740,24000,10800
T,0.17,670,9000,4050
F,0.14,638,32000,14400
T,0.01,738,2000,900
T,0.18,663,22000,9900
F,0.34,703,1000,450
T,0.08,724,22000,9900
T,0.11,709,8000,3600
T,0.2,760,21000,9450
F,0.15,644,15000,6750
T,0.25,709,27000,12150
T,0.18,676,7000,3150
T,0.1,693,20000,9000
T,0.17,693,20000,9000
T,0.31,671,12000,5400
F,0.17,656,24000,10800
F,0.01,507,7000,3150
F,0.09,707,40000,18000
F,0.05,767,27000,12150
F,0.45,675,12000,5400
T,0.21,740,11000,4950
T,0.21,703,14000,6300
T,0.23,689,18000,8100
T,0.15,727,24000,10800
T,0.09,755,14000,6300
F,0.29,714,9000,4050
T,0.21,725,16000,7200
T,0.19,670,6000,2700
F,0.33,632,36000,16200
T,0.1,663,8000,3600
T,0.24,715,17000,7650
F,0.2,704,5000,2250
F,0.24,644,22000,9900
T,0.11,676,8000,3600
F,0.65,695,34000,15300
T,0.22,663,11000,4950
F,0.02,439,6000,2700
F,0.01,564,4000,1800
T,0.07,707,13000,5850
T,0.15,704,10000,4500
T,0.23,722,19000,8550
T,0.29,777,16000,7200
F,0.18,601,10000,4500
F,0.16,621,21000,9450
T,0.19,705,26000,11700
F,0.22,693,27000,12150
T,0.33,662,37000,16650
T,0.16,715,14000,6300
F,0.19,688,13000,5850
T,0.27,688,12000,5400
F,0.23,623,21000,9450
T,0.14,745,2000,900
F,0.27,725,7000,3150
T,0.01,675,9000,4050
T,0.12,722,13000,5850
T,0.02,786,16000,7200
T,0.16,784,27000,12150
T,0.25,713,20000,9000
T,0.3,657,21000,9450
F,0.13,757,20000,9000
T,0.13,681,12000,5400
T,0.11,695,4000,1800
F,0.1,549,4000,1800
T,0.15,676,11000,4950
F,0.21,483,9000,4050
F,0.41,689,21000,9450
T,0.32,706,2000,900
F,0.16,558,4000,1800
F,0.3,688,9000,4050
F,0.17,613,15000,6750
F,0.6,692,14000,6300
T,0.12,772,19000,8550
T,0.26,669,21000,9450
T,0.22,815,8000,3600
T,0.14,692,35000,15750
T,0.11,663,13000,5850
T,0.18,676,16000,7200
F,0.31,575,17000,7650
T,0.11,684,11000,4950
T,0.21,673,14000,6300
T,0.11,693,9000,4050
F,0.21,618,12000,5400
T,0.23,698,22000,9900
F,0.3,667,2000,900
T,0.09,680,500,225
T,0.08,687,7000,3150
F,0.11,492,26000,11700
T,0.02,697,22000,9900
F,0.08,653,15000,6750
F,0.19,660,23000,10350
T,0.06,701,10000,4500
F,0.2,733,12000,5400
F,0.04,700,7000,3150
F,0.07,592,9000,4050
F,0.36,719,21000,9450
F,0.06,573,5000,2250
F,0.2,557,3000,1350
F,0.18,489,20000,9000
F,0.01,618,5000,2250
T,0.17,704,21000,9450
F,0.06,537,4000,1800
T,0.09,660,18000,8100
T,0.15,684,13000,5850
F,0.02,469,3000,1350
F,0.02,772,7000,3150
F,0,617,13000,5850
F,0.21,608,13000,5850
T,0.12,710,3000,1350
F,0.06,532,9000,4050
T,0.19,717,8000,3600
F,0.42,585,6000,2700
T,0.1,683,21000,9450
T,0.04,736,23000,10350
F,0.05,598,8000,3600
T,0.16,690,12000,5400
F,0.29,681,25000,11250
T,0.11,720,8000,3600
F,0.01,618,500,225
F,0.34,691,17000,7650
T,0.22,683,6000,2700
F,0.1,513,5000,2250
T,0.09,769,4000,1800
F,0.5,706,38000,17100
F,0.47,665,16000,7200
T,0.29,762,16000,7200
T,0.01,752,16000,7200
T,0.07,728,23000,10350
F,0.29,682,29000,13050
T,0.3,791,9000,4050
F,0.2,668,5000,2250
F,0.09,609,5000,2250
F,0.18,584,1000,450
F,0.09,579,3000,1350
F,0.37,615,9000,4050
F,0.35,560,2000,900
T,0.09,750,4000,1800
F,0.47,665,13000,5850
F,0.32,601,19000,8550
T,0.16,726,25000,11250
T,0.2,716,18000,8100
F,0.15,618,12000,5400
T,0.27,690,2000,900
F,0.16,507,4000,1800
T,0.2,681,10000,4500
F,0.21,749,34000,15300
T,0.05,750,18000,8100
T,0.07,775,12000,5400
T,0.21,682,29000,13050
T,0.24,684,4000,1800
T,0.27,684,15000,6750
T,0.06,760,17000,7650
T,0.19,685,23000,10350
T,0.18,695,9000,4050
F,0.02,569,500,225
T,0.06,763,3000,1350
T,0.23,690,13000,5850
F,0.28,636,2000,900
T,0.22,668,18000,8100
T,0.17,683,18000,8100
T,0.22,725,2000,900
T,0.26,734,33000,14850
F,0.34,650,9000,4050
F,0.37,629,17000,7650
T,0.2,696,17000,7650
F,0.03,640,12000,5400
T,0.15,699,8000,3600
F,0.23,700,17000,7650
T,0.12,725,3000,1350
F,0.09,543,27000,12150
T,0.08,697,13000,5850
T,0.3,664,18000,8100
T,0.16,682,4000,1800
F,0.2,675,36000,16200
F,0.36,688,34000,15300
T,0.07,662,10000,4500
F,0.35,754,19000,8550
T,0.22,676,30000,13500
T,0.04,736,26000,11700
T,0.12,781,8000,3600
T,0.2,687,34000,15300
F,0.22,630,17000,7650
F,0.04,543,3000,1350
T,0.15,673,8000,3600
T,0.14,709,17000,7650
T,0.29,724,8000,3600
F,0.02,718,25000,11250
T,0.18,695,4000,1800
T,0.14,672,14000,6300
T,0.14,677,14000,6300
T,0.07,683,13000,5850
T,0.16,675,13000,5850
F,0.29,569,3000,1350
F,0.11,500,3000,1350
T,0.25,689,6000,2700
T,0.23,691,8000,3600
T,0.25,712,10000,4500
T,0.1,729,12000,5400
T,0.18,725,19000,8550
T,0.06,676,7000,3150
